"Experiment.Group","Experiment.Time","Rat.Sex","GroupTime"
"Control","8 weeks",1,"Control 8 weeks"
"Control","8 weeks",1,"Control 8 weeks"
"Control","8 weeks",1,"Control 8 weeks"
"Control","8 weeks",1,"Control 8 weeks"
"Control","8 weeks",1,"Control 8 weeks"
"Control","8 weeks",2,"Control 8 weeks"
"Control","8 weeks",2,"Control 8 weeks"
"Control","8 weeks",2,"Control 8 weeks"
"Control","8 weeks",2,"Control 8 weeks"
"Control","8 weeks",2,"Control 8 weeks"
"Training","1 week",1,"Training 1 week"
"Training","1 week",1,"Training 1 week"
"Training","1 week",1,"Training 1 week"
"Training","1 week",1,"Training 1 week"
"Training","1 week",1,"Training 1 week"
"Training","1 week",2,"Training 1 week"
"Training","1 week",2,"Training 1 week"
"Training","1 week",2,"Training 1 week"
"Training","1 week",2,"Training 1 week"
"Training","1 week",2,"Training 1 week"
"Training","2 weeks",1,"Training 2 weeks"
"Training","2 weeks",1,"Training 2 weeks"
"Training","2 weeks",1,"Training 2 weeks"
"Training","2 weeks",1,"Training 2 weeks"
"Training","2 weeks",1,"Training 2 weeks"
"Training","2 weeks",2,"Training 2 weeks"
"Training","2 weeks",2,"Training 2 weeks"
"Training","2 weeks",2,"Training 2 weeks"
"Training","2 weeks",2,"Training 2 weeks"
"Training","2 weeks",2,"Training 2 weeks"
"Training","4 weeks",1,"Training 4 weeks"
"Training","4 weeks",1,"Training 4 weeks"
"Training","4 weeks",1,"Training 4 weeks"
"Training","4 weeks",1,"Training 4 weeks"
"Training","4 weeks",1,"Training 4 weeks"
"Training","4 weeks",2,"Training 4 weeks"
"Training","4 weeks",2,"Training 4 weeks"
"Training","4 weeks",2,"Training 4 weeks"
"Training","4 weeks",2,"Training 4 weeks"
"Training","4 weeks",2,"Training 4 weeks"
"Training","8 weeks",1,"Training 8 weeks"
"Training","8 weeks",1,"Training 8 weeks"
"Training","8 weeks",1,"Training 8 weeks"
"Training","8 weeks",1,"Training 8 weeks"
"Training","8 weeks",1,"Training 8 weeks"
"Training","8 weeks",2,"Training 8 weeks"
"Training","8 weeks",2,"Training 8 weeks"
"Training","8 weeks",2,"Training 8 weeks"
"Training","8 weeks",2,"Training 8 weeks"
"Training","8 weeks",2,"Training 8 weeks"
